Fecha,NDCI,Solo_Fecha,clorofila
2020-05-28 11:09:35,-0.2975871313672922,2020-05-28,7.15
2020-06-22 11:09:40,0.1275720164609053,2020-06-22,17.950000000000003
2020-06-27 11:09:33,-0.0311059907834101,2020-06-27,7.15
2020-07-02 11:09:35,0.0040322580645161,2020-07-02,8.4
2020-07-07 11:09:36,-0.0087565674255691,2020-07-07,15.25
2020-07-17 11:09:32,-0.0621039290240811,2020-07-17,64.95
2020-08-16 11:09:38,-0.3295454545454545,2020-08-16,60.1
2020-08-26 11:09:37,-0.0441176470588235,2020-08-26,49.75
2020-08-31 11:09:35,-0.0375939849624059,2020-08-31,30.700000000000003
2020-09-05 11:09:33,-0.1649122807017543,2020-09-05,21.15
2020-09-10 11:09:38,0.1499999999999999,2020-09-10,65.15
2020-09-30 11:09:36,-0.1837837837837837,2020-09-30,7.95
2020-10-30 11:09:35,-0.4906832298136646,2020-10-30,1.8
2020-11-24 11:09:34,0.0158511371467952,2020-11-24,2.2
2020-11-29 11:09:31,0.0097087378640776,2020-11-29,2.1
2020-12-04 11:09:29,-0.3491124260355029,2020-12-04,3.6
2020-12-09 11:09:31,0.0080949811117107,2020-12-09,3.5
2020-12-24 11:09:31,0.0460652591170825,2020-12-24,5.4
2020-12-29 11:09:34,-0.0913520097442143,2020-12-29,5.1
2021-01-13 11:09:30,0.0148561614426792,2021-01-13,4.7
2021-01-18 11:09:35,-0.0147928994082839,2021-01-18,6.3
2021-01-28 11:09:31,0.0,2021-01-28,4.0
2021-02-07 11:09:33,0.0,2021-02-07,7.5
2021-02-27 11:09:34,0.0070588235294117,2021-02-27,15.8
2021-03-24 11:09:33,0.0548780487804878,2021-03-24,7.0
2021-03-29 11:09:28,0.0120481927710843,2021-03-29,9.85
2021-04-03 11:09:28,0.0870445344129554,2021-04-03,41.45
2021-04-08 11:09:30,0.0598200105876124,2021-04-08,26.3
2021-04-18 11:09:25,-0.1888111888111888,2021-04-18,10.25
2021-04-23 11:09:25,0.0275862068965517,2021-04-23,6.8
2021-05-08 11:09:29,0.0819112627986348,2021-05-08,22.25
2021-05-18 11:09:34,0.0513633481293595,2021-05-18,21.15
2021-06-02 11:09:37,0.0257826887661141,2021-06-02,22.3
2021-06-07 11:09:31,-0.1740890688259109,2021-06-07,17.3
2021-06-12 11:09:31,-0.1162790697674418,2021-06-12,24.2
2021-06-27 11:09:32,-0.006145741878841,2021-06-27,28.25
2021-07-02 11:09:32,-0.0752177355502771,2021-07-02,26.9
2021-07-17 11:09:34,-0.6133333333333334,2021-07-17,19.2
2021-07-22 11:09:32,0.0099999999999999,2021-07-22,43.25
2021-08-06 11:09:37,-0.323076923076923,2021-08-06,16.85
2021-08-11 11:09:35,0.0392156862745097,2021-08-11,25.9
2021-08-16 11:09:33,0.3309090909090909,2021-08-16,146.25
2021-08-26 11:09:32,0.1106471816283924,2021-08-26,65.2
2021-09-25 11:09:34,0.0617977528089887,2021-09-25,79.69999999999999
2021-09-30 11:09:33,0.3203883495145631,2021-09-30,122.4
2021-10-10 11:09:31,0.1761658031088083,2021-10-10,80.85
2021-10-15 11:09:39,0.0057142857142857,2021-10-15,9.4
2021-10-25 11:09:35,-0.1157894736842105,2021-10-25,7.1
2021-11-09 11:09:34,-0.2558139534883721,2021-11-09,2.3
2021-12-14 11:09:34,-0.2869565217391304,2021-12-14,2.3
2021-12-29 11:09:26,-0.0702341137123746,2021-12-29,2.5
2022-01-03 11:09:32,-0.875,2022-01-03,3.4
2022-01-08 11:09:26,-0.0599613152804642,2022-01-08,3.0
2022-01-13 11:09:31,-0.9310344827586208,2022-01-13,1.8
2022-01-18 11:09:29,-0.2949640287769784,2022-01-18,2.5
2022-01-23 11:09:30,-0.2034632034632034,2022-01-23,2.3
2022-01-28 11:09:24,-0.5384615384615385,2022-01-28,1.9
2022-02-02 11:09:30,-1.0,2022-02-02,6.2
2022-02-17 11:09:28,-1.0,2022-02-17,2.8
2022-02-22 11:09:36,-0.9375,2022-02-22,3.1
2022-02-27 11:09:26,-0.1590296495956873,2022-02-27,4.1
2022-03-09 11:09:28,0.0046082949308755,2022-03-09,3.5
2022-04-03 11:09:32,-0.0492610837438423,2022-04-03,12.3
2022-04-18 11:09:26,0.2920353982300884,2022-04-18,111.85
2022-04-23 11:09:39,-0.0226628895184135,2022-04-23,8.649999999999999
2022-05-08 11:09:31,0.05,2022-05-08,42.45
2022-05-13 11:09:34,0.0233682514101531,2022-05-13,22.6
2022-05-18 11:09:30,0.0087403598971722,2022-05-18,23.15
2022-05-28 11:09:30,-0.5886524822695036,2022-05-28,8.1
2022-06-02 11:09:38,0.0161229846269216,2022-06-02,19.4
2022-06-07 11:09:32,0.0508849557522123,2022-06-07,15.15
2022-06-17 11:09:34,0.0931537598204265,2022-06-17,9.15
2022-06-22 11:09:42,0.0440331844288449,2022-06-22,26.35
2022-07-02 11:09:47,0.017913593256059,2022-07-02,25.95
2022-07-12 11:09:43,-0.2291666666666666,2022-07-12,15.8
2022-07-27 11:09:35,0.0617283950617284,2022-07-27,32.2
2022-08-06 11:09:35,-0.4511627906976744,2022-08-06,47.15
2022-08-31 11:09:46,-1.0,2022-08-31,22.3
2022-09-10 11:09:41,-0.4772727272727273,2022-09-10,23.3
2022-10-15 11:09:29,0.3296089385474861,2022-10-15,81.55
2022-11-04 11:09:32,-0.3140495867768595,2022-11-04,4.9
2022-11-19 11:09:31,0.0114285714285714,2022-11-19,1.3
2022-11-29 11:09:30,0.0601092896174863,2022-11-29,2.3
2022-12-14 11:09:28,-0.6464088397790055,2022-12-14,2.7
2022-12-24 11:09:30,-0.1702127659574468,2022-12-24,4.1
2023-01-03 11:09:29,-1.0,2023-01-03,4.4
2023-01-18 11:09:26,-0.9008264462809916,2023-01-18,5.3
2023-01-28 11:09:28,-1.0,2023-01-28,5.5
2023-02-02 11:09:27,-1.0,2023-02-02,4.0
2023-02-17 11:09:31,-0.6631578947368421,2023-02-17,2.5
2023-02-22 11:09:30,0.0983810709838106,2023-02-22,8.4
2023-03-04 11:09:32,-0.4774774774774775,2023-03-04,5.1
2023-03-09 11:09:29,-0.6,2023-03-09,4.1
2023-03-14 11:09:35,-0.3112582781456954,2023-03-14,9.7
2023-04-03 11:09:34,-0.3050847457627118,2023-04-03,10.45
2023-04-08 11:09:34,-0.1471698113207547,2023-04-08,16.049999999999997
2023-05-03 11:09:33,0.0656063618290258,2023-05-03,30.55
2023-05-23 11:09:39,-0.0094979647218453,2023-05-23,8.45
2023-06-12 11:09:35,0.1779527559055118,2023-06-12,10.15
2023-07-12 11:09:39,0.0750462107208873,2023-07-12,16.85
2023-08-01 11:09:35,0.0923913043478261,2023-08-01,30.35
2023-08-06 11:09:39,0.1428571428571428,2023-08-06,54.4
2023-08-11 11:09:43,-0.3517241379310344,2023-08-11,24.450000000000003
2023-08-21 11:09:39,-0.087719298245614,2023-08-21,10.8
2023-08-26 11:09:40,0.0787781350482315,2023-08-26,24.8
2023-08-31 11:09:39,-1.0,2023-08-31,16.1
2023-09-20 11:09:34,-0.1,2023-09-20,6.4
2023-09-25 11:09:32,-0.0814814814814815,2023-09-25,12.75
2023-09-30 11:09:36,0.0632183908045977,2023-09-30,14.9
2023-10-05 11:09:35,0.0676156583629892,2023-10-05,11.6
2023-10-10 11:09:36,-0.0198019801980197,2023-10-10,9.0
2023-10-15 11:09:29,0.0368217054263565,2023-10-15,5.35
2023-10-20 11:09:32,-0.0814814814814815,2023-10-20,6.7
2023-10-30 11:09:36,-0.0418848167539267,2023-10-30,7.55
2023-11-04 11:09:33,0.0267379679144384,2023-11-04,11.8
2023-11-09 11:09:32,0.1145833333333332,2023-11-09,4.9
2023-11-14 11:09:32,0.0,2023-11-14,4.8
2023-11-19 11:09:28,0.104950495049505,2023-11-19,5.6
2023-11-24 11:09:25,0.0557491289198606,2023-11-24,5.0
2023-11-29 11:09:27,0.0457460453185121,2023-11-29,4.5
2023-12-04 11:09:27,-0.1414141414141413,2023-12-04,4.1
2023-12-09 11:09:27,0.0296377607025246,2023-12-09,5.2
2023-12-19 11:09:34,0.0408719346049045,2023-12-19,6.4
2023-12-24 11:09:27,0.1174934725848564,2023-12-24,4.5
2023-12-29 11:09:32,0.0368550368550368,2023-12-29,5.8
2024-01-08 11:09:29,0.0706214689265537,2024-01-08,5.0
2024-01-18 11:09:30,-0.1028368794326241,2024-01-18,6.0
2024-01-23 11:09:24,-0.109375,2024-01-23,5.3
2024-01-28 11:09:32,0.0123456790123457,2024-01-28,6.7
2024-02-02 11:09:26,-0.1428571428571428,2024-02-02,10.3
2024-02-07 11:09:30,0.0130653266331658,2024-02-07,11.4
2024-02-17 11:09:31,-0.2427184466019417,2024-02-17,12.5
2024-03-23 11:09:32,0.0707547169811321,2024-03-23,29.4
2024-04-07 11:09:33,0.0495412844036697,2024-04-07,7.25
2024-04-12 11:09:35,-0.2941176470588235,2024-04-12,9.0
2024-04-22 11:09:37,0.0132743362831858,2024-04-22,56.65
2024-04-27 11:09:29,0.0251476055106057,2024-04-27,10.9
2024-05-02 11:09:33,0.0050933786078098,2024-05-02,24.05
2024-06-16 11:09:33,-0.0285714285714285,2024-06-16,29.5
2024-06-26 11:09:34,0.1230188679245282,2024-06-26,45.9
